"","User_ID_Str","Scamdemic","Plandemic","Scaredemic","NoCovidVaccine","FilmYourHospital","fiveGCoronavirus","FireFauci","ExposeBillGates","hoaxvirus","covid19hoax","coronahoax","dontwearamask","id2020","covid1984","maskoff","Arrestbillgates","Barbaramdev","Chinesebioterrorism","Coronil","Cv1984","Drfraudfauci","Emptyhospitals","Endcovidscamnow","Faucifraud","Faucithefraud","Hcqworks","Hydroxycholorquineworks","Limengyan","Plandemicdocumentary","Ramdev","Arrestfauci","Casedemic","Covidhoax"
"1",7712832,2,7,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2",15656004,5,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
"3",16585101,3,12,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1
"4",17760630,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
"5",18393418,6,9,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"6",18673125,3,4,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
"7",19380916,3,5,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0
"8",19921268,4,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2
"9",20271982,6,15,0,0,0,1,1,4,0,0,1,0,4,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
"10",22822556,3,14,0,0,1,0,2,10,0,0,2,0,4,9,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1
"11",22972709,7,4,0,0,3,0,2,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"12",23341972,4,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"13",24790428,3,10,0,0,0,0,2,1,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,7
"14",27185670,4,12,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,7,1,0,0,0,0,0,0,0
"15",28037002,3,5,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"16",28625375,10,14,0,0,2,0,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0
"17",29547555,2,5,0,0,1,0,1,4,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",30266529,4,4,0,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0
"19",30849514,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",33139373,3,1,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"21",37275487,12,16,0,0,2,0,2,3,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2
"22",39890390,4,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2
"23",42283761,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
"24",43838991,2,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2
"25",52439119,9,16,0,0,1,1,10,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,1
"26",53745076,3,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0
"27",55227849,4,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"28",55638625,8,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",55915345,4,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",66053650,3,4,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1
"31",66205247,10,5,0,0,2,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"32",66299698,2,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1
"33",73025974,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"34",78328789,5,8,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",85904700,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"36",89300184,7,10,0,0,14,0,5,13,1,0,2,0,2,34,0,1,0,0,0,0,0,2,0,6,3,40,0,0,0,0,0,0,2
"37",108510851,2,6,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
"38",109604292,2,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",116572628,2,0,0,0,1,0,56,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",123603770,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"41",129949447,3,10,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,6
"42",133259087,5,8,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
